Network,Station,Median.Corr..Angle,Mean.Corr..Angle,Stddev.Corr..Angle,N.events
ZS,D088,7.5,5.167,7.862,6
ZS,D090,3,1.643,5.191,14
ZS,D091,-1,-4,8.832,3
ZS,D092,-5,-5.75,7.013,8
ZS,D093,-4,-3.273,7.569,11
ZS,D094,-9,-9.444,5.54,9
ZS,D095,-9.5,-9.7,10.286,10
ZS,D096,-4,-4.3,6.034,10
ZS,D097,-13,-13,0,1
ZS,D098,-3.5,-3.75,8.913,8
ZS,D099,-7,-6.889,11.14,9
ZS,D100,2,-5.571,19.279,7
ZS,D101,4.5,2.333,9.551,6
ZS,D102,-10,-15.444,16.906,9
ZS,D103,0,-1.2,10.943,5
ZS,D104,-8,-9.2,7.414,10
ZS,D105,-13,-12.2,5.706,5
ZS,D106,-8,-9,6.57,12
ZS,D107,-4,-3.6,9.372,10
ZS,D108,-18,-18,4,2
ZS,D109,0,0.533,7.805,15
ZS,D110,-2,-1.667,5.869,9
ZS,D111,-1,-3.091,14.884,11
ZS,D112,5,4.25,24.211,4
ZS,D113,-9,-7.846,13.677,13
ZS,D114,-3,8.333,21.929,3
ZS,D115,-23,-28,9.274,3
ZS,D116,24,21,6.347,7
ZS,D117,0,-1.727,6.675,11
ZS,D118,-13,-10.167,8.764,6
ZS,D119,-7.5,-2,18.097,4
ZS,D120,0,-0.2,9.826,10
ZS,D122,-12,-12,16,2
ZS,D123,2,1,7.616,7
ZS,D124,-18,-15.333,6.799,3
ZS,D126,-1,0.2,6.493,5
ZS,D127,-3,-4.818,6.9,11
ZS,D128,1,-1.067,14.982,15
ZS,D129,-6.5,-6.5,0.5,2
ZS,D130,-21,-17,14.166,3
ZS,D131,-1,0.917,16.53,12
ZS,D132,-17.5,-16.75,10.425,4
ZS,D133,1.5,1.5,7.5,2
ZS,D134,-2,-2,15,2
ZS,D136,-6,-6,9.944,9
ZS,D137,1,-0.154,12.996,13
ZS,D138,-3,-1.3,16.316,10
ZS,D139,-0.5,-0.667,11.368,12
ZS,D140,4,4,0,1
ZS,D141,-22,-11,30.583,6
ZS,D145,1,1,5.099,4
ZS,D146,1,-0.833,16.222,12
ZS,D147,-26.5,-26.5,35.5,2
ZS,D148,-2,-2,13,2
ZS,D149,-8.5,-8.5,6.801,4
ZS,D150,-27,-27,0,1
ZS,D151,-5.5,-5.5,12.5,2
ZS,D152,0.5,0.917,8.47,12
ZS,D153,-13,-13,2,2
