Network,Station,Median.Corr..Angle,Mean.Corr..Angle,Stddev.Corr..Angle,N.events
GR,GRA1,2,1.067,4.582,15
GR,GRA2,2,2.077,6.855,13
GR,GRA3,0.5,0.188,5.353,16
GR,GRA4,2,1.733,5.983,15
GR,GRB1,1.5,1.167,6.833,18
GR,GRB2,-1.5,-1,6.912,18
GR,GRB3,2,2.056,7.075,18
GR,GRB4,-1,-1.333,5.588,12
GR,GRB5,0.5,2.111,6.74,18
GR,GRC1,0.5,0.611,6.832,18
GR,GRC2,3,0.188,6.616,16
GR,GRC3,2,1.111,6.781,18
GR,GRC4,1,1.824,7.073,17
GR,MILB,0,-2.933,9.434,15
GR,MOX,-1,-0.706,6.587,17
GR,TMO22,-7,-6.833,5.565,12
GR,TNS,-1,-2.529,7.055,17
GR,UBBA,1,1.333,5.3,15
GR,UBR,5,2.467,9.458,15
GR,WET,0,0,8.993,16
GU,BHB,-9.5,-10.625,5.453,8
GU,BURY,-4,-8.2,12.172,5
GU,CANO,-28,-21,38.013,4
GU,CARD,-8,-10.125,8.418,8
GU,CIRO,0.5,-0.625,8.514,8
GU,ENR,-9.5,-10.333,4.679,6
GU,EQUI,17,18.429,8.069,7
GU,GBOS,-4,-3.5,3.253,6
GU,GORR,-8,-3.889,17.317,9
GU,GRAM,-3,-1.6,7.338,5
GU,GSCL,1,-3.1,11.545,10
GU,LSD,3,3,0,1
GU,MAIM,-22,-20.143,7.279,7
GU,MGRO,-6,-6,1,2
GU,PCP,-31.5,-31.3,4.818,10
GU,POPM,-0.5,-7.5,14.841,4
GU,PZZ,-14.5,-13.286,7.648,14
GU,RNCA,-20,-23,7.874,5
GU,RORO,-166,-165.333,7.063,6
GU,ROTM,-1.5,-2.333,3.448,6
GU,RRL,-7,-7.375,8.688,8
GU,RSP,-11,-11.6,5.953,5
GU,SARM,-22,-22,0,1
GU,SATI,2,-1,5.345,7
GU,STV,-2.5,-0.875,4.196,8
GU,TRAV,9,7.833,6.568,6
HU,AMBH,-13.5,-14.2,5.134,10
HU,BEHE,-9,-8,2.16,3
HU,BSZH,-7,-5.2,15.645,10
HU,BUD,-6,-4.556,6.517,9
HU,CSKK,-10,-11.1,3.7,10
HU,EGYH,-20,-20,7.071,11
HU,KOVH,-6.5,-5.714,6.352,14
HU,LTVH,1.5,0.875,5.862,8
HU,MORH,-6,-4.562,5.42,16
HU,MPLH,13.5,14.143,6.791,14
HU,PSZ,2.5,1.312,12.2,16
HU,SOP,6,4.812,6.064,16
HU,TIH,1,4.333,27.604,9
HU,TRPA,-5.5,-6.9,11.811,10
IV,APEC,-4,-6.6,5.463,5
IV,ASQU,4.5,4.5,6.5,2
IV,BDI,-10,-9.857,8.132,7
IV,BOB,-16,-9.833,15.093,6
IV,BRIS,-5.5,-4.833,8.112,6
IV,BRMO,-13,-25.4,25.539,10
IV,CAVE,2,4.875,9.571,8
IV,CELB,23,19.556,7.574,9
IV,CRE,-12.5,-12.875,6.193,8
IV,CRMI,-13,-14.727,9.372,11
IV,CSNT,13.5,11.5,6.602,6
IV,CTI,-4.5,-11.5,14.375,10
IV,FIR,106,103.4,10.012,5
IV,FNVD,2,1.25,11.009,4
IV,FSSB,-18,-17.429,8.516,7
IV,FVI,5,7.556,14.803,9
IV,GROG,-1.5,-4.125,10.588,8
IV,IMI,-8,1.4,15.266,5
IV,LMD,-3,-3.818,8.088,11
IV,MABI,15,10.8,6.431,5
IV,MAGA,-6.5,-6.167,6.866,6
IV,MAGO,-3.5,-3.25,0.829,4
IV,MDI,3.5,6.125,10.717,8
IV,MILN,-34,-22.571,29.232,7
IV,MONC,3,3.125,6.431,8
IV,MRGE,1,3.667,17.317,6
IV,MSSA,-20.5,-17,8.155,8
